rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,arxiv:2202.10667v2,Visually Grounded Task and Motion Planning for Mobile Manipulation,2022,arXiv,http://arxiv.org/abs/2202.10667v2,Addresses mobile manipulation planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Mobile manipulation spatial commitments keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.1109/tetci.2022.3146387,Motion Planning and Cooperative Manipulation for Mobile Robots With Dual Arms,2022,IEEE Transactions on Emerging Topics in Computational Intelligence,https://doi.org/10.1109/tetci.2022.3146387,Addresses mobile manipulation planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Mobile manipulation spatial commitments keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1609/icaps.v20i1.13436,Combined Task and Motion Planning for Mobile Manipulation,2010,Proceedings of the International Conference on Automated Planning and Scheduling,https://doi.org/10.1609/icaps.v20i1.13436,Addresses mobile manipulation planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Mobile manipulation spatial commitments keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.1115/detc2012-70600,Optimal Base Placement and Motion Planning for Mobile Manipulators,2012,"Volume 4: 36th Mechanisms and Robotics Conference, Parts A and B",https://doi.org/10.1115/detc2012-70600,Addresses mobile manipulation planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Mobile manipulation spatial commitments keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.1115/1.4069407,Kinodynamic Motion Planning for Collaborative Object Transportation by Multiple Mobile Manipulators,2025,Journal of Mechanisms and Robotics,https://doi.org/10.1115/1.4069407,Addresses mobile manipulation planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Mobile manipulation spatial commitments keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1109/icra57147.2024.10610192,Real-time Whole-body Motion Planning for Mobile Manipulators Using Environment-adaptive Search and Spatial-temporal Optimization,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra57147.2024.10610192,Addresses mobile manipulation planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Mobile manipulation spatial commitments keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.3390/app10051665,Contingent Task and Motion Planning under Uncertainty for Human–Robot Interactions,2020,Applied Sciences,https://doi.org/10.3390/app10051665,Addresses mobile manipulation planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Mobile manipulation spatial commitments keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.1177/02783640022067139,Coordinated Motion Planning for a Mobile Manipulator considering Stability and Manipulation,2000,The International Journal of Robotics Research,https://doi.org/10.1177/02783640022067139,Addresses mobile manipulation planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Mobile manipulation spatial commitments keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.1145/3564696,Multiple Mobile Robot Task and Motion Planning: A Survey,2023,ACM Computing Surveys,https://doi.org/10.1145/3564696,Addresses mobile manipulation planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Mobile manipulation spatial commitments keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.3390/machines10020097,Motion Planning for Mobile Manipulators—A Systematic Review,2022,Machines,https://doi.org/10.3390/machines10020097,Addresses mobile manipulation planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Mobile manipulation spatial commitments keeps action-critical alternatives explicit until a physical observation collapses them.
