split,seed,episode_id,method,success,task_success_rate,completed_tasks,total_tasks,future_regret,commitment_violation,risk_proxy,base_collision,arm_collision,swing_block,approach_occlusion,reposition_count,path_length,aisle_trap_events,swing_block_events,approach_occlusion_events,relocation_dead_end_events,aisle_width,clutter_density,future_ambiguity,relocation_pressure,failure_label,description,stress_level
stress_commitment,0,0,reachability_margin_sampler,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,0,receding_horizon_tamp,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,0,commitment_cost_planner_v4,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,0,beam_search_sequence_planner,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,0,topological_base_graph_search,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,0,robust_backtracking_tamp,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,0,spatial_commitment_tree_search_v5,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,0,exact_sequence_oracle,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,1,reachability_margin_sampler,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,1,receding_horizon_tamp,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,1,commitment_cost_planner_v4,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,1,beam_search_sequence_planner,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,1,topological_base_graph_search,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,1,robust_backtracking_tamp,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,1,spatial_commitment_tree_search_v5,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,1,exact_sequence_oracle,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,2,reachability_margin_sampler,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,2,receding_horizon_tamp,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
stress_commitment,0,2,commitment_cost_planner_v4,0,0.00000,0,5,1,0,1.00000,0,0,0,0,0,0.00000,0,0,0,0,0.80000,0.18000,0.12000,0.18000,no_feasible_base_pose,stress level 0.00,0.00
